full_name,team_logo_espn,first_td_times,first_td_rush,first_td_pass,teamTDperc,season,offense
Dion Lewis,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png,1,0,1,0.1111111111111111,2020,NYG
Diontae Johnson,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png,1,0,0,0.2,2019,PIT
Diontae Spencer,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,1,0,0,0.25,2020,DEN
Donald Parham,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,1,0,1,0.14285714285714285,2023,LAC
Dont'a Hightower,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,1,0,0,0.09090909090909091,2019,NE
Dontrell Hilliard,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,1,1,0,0.09090909090909091,2019,CLE
Dontrelle Inman,https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png,1,0,1,0.2,2020,WAS
Drake London,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,1,0,1,0.14285714285714285,2022,ATL
Drew Sample,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,1,0,1,0.125,2020,CIN
Drew Sample,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,1,0,1,0.14285714285714285,2023,CIN
Durham Smythe,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,1,0,1,0.16666666666666666,2022,MIA
E.J. Speed,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png,1,0,0,0.1,2021,IND
Elandon Roberts,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,1,0,0,0.09090909090909091,2021,MIA
Elijah Moore,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png,1,0,1,0.16666666666666666,2021,NYJ
Emmanuel Sanders,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,1,0,1,0.07142857142857142,2021,BUF
Emmanuel Sanders,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,1,0,1,0.09090909090909091,2019,SF
Eric Ebron,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png,1,0,1,0.1,2019,IND
Eric Rowe,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,1,0,0,0.14285714285714285,2019,MIA
Eric Saubert,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,1,0,1,0.16666666666666666,2022,DEN
Erik Harris,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,1,0,0,0.1,2019,LV
Evan Engram,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png,1,0,1,0.125,2022,JAX
Evan Engram,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png,1,0,1,0.14285714285714285,2019,NYG
Evan Engram,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png,1,1,0,0.1111111111111111,2020,NYG
Evan Engram,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png,1,0,1,0.16666666666666666,2021,NYG
Ezekiel Elliott,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,1,0,1,0.25,2020,DAL
Foster Moreau,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,1,0,1,0.1,2019,LV
Frankie Luvu,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,1,0,0,0.1111111111111111,2022,CAR
Freddie Swain,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,1,0,1,0.09090909090909091,2020,SEA
Gabriel Davis,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,1,0,1,0.07142857142857142,2020,BUF
Garrett Wilson,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png,1,0,1,0.16666666666666666,2022,NYJ
Geno Smith,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,1,1,0,0.09090909090909091,2021,SEA
Geoff Swaim,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,1,0,1,0.09090909090909091,2022,TEN
George Kittle,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,1,0,1,0.1,2021,SF
George Kittle,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,1,0,1,0.08333333333333333,2022,SF
George Kittle,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,1,0,1,0.09090909090909091,2023,SF
George Pickens,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png,1,1,0,0.16666666666666666,2022,PIT
Gerald Everett,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png,1,1,0,0.1111111111111111,2020,LA
Gerald Everett,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,1,0,1,0.08333333333333333,2022,LAC
Gerald Everett,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,1,0,1,0.09090909090909091,2021,SEA
Greg Dulcich,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,1,0,1,0.16666666666666666,2022,DEN
Ha Ha Clinton-Dix,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,1,0,0,0.16666666666666666,2019,CHI
Harrison Bryant,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,1,0,1,0.07692307692307693,2022,CLE
Henry Ruggs,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,1,0,1,0.16666666666666666,2021,LV
Hunter Henry,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,1,0,1,0.125,2020,LAC
Hunter Henry,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,1,0,1,0.1111111111111111,2021,NE
Hunter Renfrow,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,1,0,1,0.14285714285714285,2020,LV
Hunter Renfrow,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,1,0,1,0.14285714285714285,2022,LV
Ihmir Smith-Marsette,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,1,0,0,0.25,2023,CAR
Irv Smith,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,1,0,1,0.14285714285714285,2023,CIN
Irv Smith,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,1,0,1,0.1,2019,MIN
Irv Smith,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,1,0,1,0.08333333333333333,2022,MIN
